Year,Gross
(1999– ),187689
(2023),28895
(2023),189108
(2013–2023),434457
(2020– ),82909
(2022– ),28587
(2019– ),131667
(2022),153495
(2004–2023),64528
(2015– ),14322
(2007–2017),145484
(2009),250338
(2021– ),3358
(2023),829
(2002–2007),117447
(2021– ),16154
(2019– ),58698
(2021),78880
(2023– ),2118
(2001),807955
(2011–2014),119287
(2023),6046
(2016– ),72700
(2006–2007),355048
(2004),422995
(1995),1035690
(2024),0
(2023– ),1421
(2022– ),43330
(2016),182717
(2004),777481
(I) (2015),752291
(2018–2020),7905
(1989–1996),140671
(I) (2017),552656
(2017–2021),30863
(2003),1082005
(2009–2010),185053
(2012– ),30645
(2016),297948
(2010),477174
(2009),1088519
(2023),5758
(1997),245703
(2015–2019),176198
(2022),5242
(2017– ),26414
(2008),1162284
(1998),305992
(1989),282153
(1997–1998),46866
(2022),51787
(1991),469561
(2023– ),0
(2004–2005),38631
(1988),294819
(1992),447252
(2009),158709
(1998),304685
(1997–2023),45855
(2020),355953
(1998–1999),130513
(2010),868393
(1997),414846
(1997),87360
(1999),239057
(2014),485085
(2022),25792
(2018),317085
(2012),444285
(2012),429432
(1995–1996),78730
(2022),15201
(2002),203819
(2022– ),32062
(2016),211442
(2017),113161
(2001),128780
(2015–2018),33539
(2011),206725
(2005–2021),13783
(2023– ),3841
(2021– ),22189
(1988),360726
(2000),216870
(I) (1995),197116
(2019),185430
(1999),603780
(1988),197226
(2023– ),8402
(2023– ),6207
(2014–2020),31351
(2018),182832
(2022),117839
(2013),377449
(2024),0
(2001–2007),1947
(I) (2020),161752
(2018),174484
(2006–2008),75288
(1986–1989),62616
(2006),90584
(2019),142317
(2016–2022),40175
(2021– ),22575
(1996),166476
(2021),28005
(2013),415260
(1995),150953
(2022),42585
(2008),154350
(1989),155616
(2016– ),21918
(2008),222326
(2014–2021),35861
(2011–2015),68941
(2016),93393
(2013),92716
(2019– ),25004
(2014),60399
(2012– ),49959
(2009–2019),26726
(2015),123052
(2007),107430
(2022– ),3704
(2017– ),13715
(2020– ),7371
(2012–2018),12536
(1996– ),14534
(2023– ),497
(2021– ),7987
(1986),174811
(2005),97812
(2019–2021),43657
(1984),176445
(1995–2003),63122
(2019– ),17750
(2021),12801
(2016),54217
(2003),118891
(2014– ),44346
(2000),64991
(2022– ),10417
(2019–2021),7984
(2020),67605
(2018– ),13330
(2019),50543
(2016– ),8420
(2016–2017),6943
(2002),61059
(2014),27614
(2014–2018),34798
(2017– ),10756
(2018),25578
(2018),26871
(1997),60315
(2022– ),11835
(1990),45662
(2009–2015),23873
(2023– ),3136
(2024),0
(2012– ),21134
(2010),14695
(2003–2004),74876
(2019– ),9806
(1994–1997),17845
(2021–2022),6503
(1992),96377
(2006),16859
(2010),98939
(2022– ),2066
(2023),8585
(2004–2005),52784
(2013–2016),19189
(2022),13092
(1998),15901
(2018– ),9193
(2021),15463
(2015– ),12403
(2000),62971
(2004),35523
(I) (2000–2006),22571
(2020–2023),4493
(2018),30266
(1995),68308
(1982),28506
(2011),27241
(1992–1997),7089
(2015– ),9589
(2000–2004),17281
(1996–1998),20084
(2000–2002),8486
(2016–2023),13425
(1984–1987),23050
(2021– ),4277
(2000),34182
(2023– ),529
(2000),4481
(1977 TV Movie),15649
(2022–2023),2239
(1989–1996),84577
(2018–2019),14968
(2019– ),15773
(2019),17644
(2023),6594
(2006–2012),25363
(1992–1995),14779
(2018– ),2970
(2015–2020),11502
(2013),50932
(2019– ),5776
(1986),41244
(2004 Video),28097
(2018),12552
(2014),44875
(2023– ),628
(1983),8772
(2013– ),8226
(1993–1996),6805
(2015–2016),6938
(2009),16065
(2013),49703
(2023– ),1205
(2006),42375
(1998),44853
(2009),38760
(2019),41112
(2019– ),11527
(2023– ),279
(1993),39405
(2011–2012),14139
(2007),61614
(2021– ),10984
(2012– ),2740
(2011),48647
(2007),19970
(1995),20197
(2021),12785
(1985),16840
(2016),16141
(2021– ),8308
,0
(1999–2007),22880
(2018),21316
(1987–1990),33963
(1994 Video),30610
(2013–2023),8083
(2022),4541
(2002),127617
(2017– ),3043
(2023– ),3087
(2017–2019),11830
(2020 TV Movie),5219
(2011),36161
(2022– ),3349
(2021–2022),3131
(2022– ),1375
(1988–1997),4201
(2022– ),1055
(2018),7507
(2003),80812
(2007),17701
(1998),23288
(2001),51308
(2000–2001),18964
(2011–2013),19059
(2004),24913
(2013–2014),15949
(1999–2001),8998
(2006),15561
(2023– ),224
(1991),35313
(2018),25244
(2023),1430
(2016),37258
(2004),13392
(2012–2015),10494
(2019–2023),2488
(2008),2133
(1995–1996),6602
(2006–2007),4979
(1992),3208
(2022– ),2739
(2021),21239
(2021– ),9053
(2015),18676
(2016–2018),9520
(2019),7406
(1980 TV Movie),4438
(2018),23180
(1973),7181
(1998),3712
(2020– ),3392
(1994),32641
(2018– ),4210
(2023– ),75
(2019),1842
(2023– ),330
(2023),316
(2022– ),2547
(1987),8966
(2020– ),1886
(1983–1986),22486
(2020),12578
(1996 Video),37198
(2008–2011),8810
(1993–1998),25117
(2023– ),1474
(1995–2000),12963
(2018–2019),555
(2005–2014),14172
(2023– ),158
(2012),17165
(1998–1999),10951
(1985 Video),11075
(2012),47673
(2014),12768
(2006),69151
(1989),7981
(1999),18005
(2022),1660
